id,body_part,equipment,gif_url,name,target
2209,chest,roller,http://d205bpvrqc9yn1.cloudfront.net/2209.gif,"roller seated single leg shoulder flexor depresor retractor",pectorals
2271,shoulders,"body weight",http://d205bpvrqc9yn1.cloudfront.net/2271.gif,"left hook. boxing",delts
2285,back,"leverage machine",http://d205bpvrqc9yn1.cloudfront.net/2285.gif,"lever pullover ",lats
2286,"upper legs","leverage machine",http://d205bpvrqc9yn1.cloudfront.net/2286.gif,"lever hip extension v. 2",glutes
2287,"upper legs","leverage machine",http://d205bpvrqc9yn1.cloudfront.net/2287.gif,"lever alternate leg press ",quads
2288,"lower arms","leverage machine",http://d205bpvrqc9yn1.cloudfront.net/2288.gif,"lever gripper hands ",forearms
2289,"lower legs","leverage machine",http://d205bpvrqc9yn1.cloudfront.net/2289.gif,"lever calf press ",calves
2292,shoulders,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/2292.gif,"dumbbell rear delt raise",delts
2293,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/2293.gif,"dumbbell standing zottman preacher curl",biceps
2294,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/2294.gif,"dumbbell zottman preacher curl",biceps
2297,waist,"stability ball",http://d205bpvrqc9yn1.cloudfront.net/2297.gif,"stability ball crunch (full range hands behind head)",abs
2298,back,"body weight",http://d205bpvrqc9yn1.cloudfront.net/2298.gif,"inverted row on bench","upper back"
2300,back,"body weight",http://d205bpvrqc9yn1.cloudfront.net/2300.gif,"inverted row bent knees","upper back"
2311,cardio,"stepmill machine",http://d205bpvrqc9yn1.cloudfront.net/2311.gif,"walking on stepmill","cardiovascular system"
2312,waist,"body weight",http://d205bpvrqc9yn1.cloudfront.net/2312.gif,"lying elbow to knee",abs
2315,"lower legs","leverage machine",http://d205bpvrqc9yn1.cloudfront.net/2315.gif,"lever rotary calf",calves
2317,shoulders,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/2317.gif,"dumbbell seated bent arm lateral raise",delts
2318,shoulders,"leverage machine",http://d205bpvrqc9yn1.cloudfront.net/2318.gif,"lever shoulder press  v. 3",delts
2321,"upper arms",dumbbell,http://d205bpvrqc9yn1.cloudfront.net/2321.gif,"dumbbell standing inner biceps curl v. 2",biceps
2327,back,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/2327.gif,"dumbbell reverse grip row (female)","upper back"
2328,"upper arms","stability ball",http://d205bpvrqc9yn1.cloudfront.net/2328.gif,"narrow push-up on exercise ball",triceps
2329,waist,"body weight",http://d205bpvrqc9yn1.cloudfront.net/2329.gif,"spine twist",abs
2330,back,cable,http://d205bpvrqc9yn1.cloudfront.net/2330.gif,"cable lat pulldown full range of motion",lats
2331,cardio,"leverage machine",http://d205bpvrqc9yn1.cloudfront.net/2331.gif,"cycle cross trainer","cardiovascular system"
2333,waist,"body weight",http://d205bpvrqc9yn1.cloudfront.net/2333.gif,"arm slingers hanging straight legs",abs
2334,"lower legs","sled machine",http://d205bpvrqc9yn1.cloudfront.net/2334.gif,"sled lying calf press",calves
2335,"lower legs","leverage machine",http://d205bpvrqc9yn1.cloudfront.net/2335.gif,"lever seated calf press",calves
